 Objeto,Area
1,43261
2,16415
3,25092
4,52408
5,212640
6,126369
7,95419
8,595
9,34302
10,4730
11,28914
12,188206
13,39283
14,18639
15,220753
16,3289
17,79536
18,10901
19,5607
20,22147
21,67288
22,439
23,8051
24,72269
25,27441
26,268212
27,234067
28,73240
29,31075
30,77907
31,55635
32,136894
33,8270
34,49777
35,2569
36,37936
37,6390
38,8239
39,14379
40,25092
41,25593
42,24591
43,58611
44,24967
45,13032
46,208035
47,81197
48,21208
49,19986
50,132790
51,27222
52,19265
53,19109
54,50591
55,54914
56,98990
57,134388
58,218936
59,269747
60,150646
61,22837
62,20957
63,58642
64,25249
65,54350
66,1974
67,186702
68,83922
69,31670
70,3289
71,2318
72,24497
73,68290
74,258282
75,73553
76,112616
77,87430
78,117253
79,908
80,75245
81,73021
82,42415
83,157788
84,88496
85,179215
86,97925
87,143316
88,44451
89,84705
90,470
91,61117
92,30229
93,210948
94,39847
95,19767
96,11309
97,152181
98,234161
99,32234
100,114465
101,22273
102,8458
103,16634
104,158759
105,231717
106,6046
107,1566
108,9930
109,63
110,91315
111,99272
112,752
113,13220
114,2851
115,83045
116,47114
117,2506
118,27535
119,21020
120,63
121,1692
122,25468
123,136643
124,1096
125,63
126,2193
127,4542
128,57734
129,47803
130,16540
131,6046
132,1222
133,2976
134,29540
135,12342
136,75934
137,77312
138,4793
139,16603
140,35649
141,188
142,25155
143,65283
144,7424
145,249417
146,202114
147,3446
148,3070
149,96014
150,24935
151,83765
152,2851
153,121638
154,82450
155,38625
156,18012
157,108763
158,82575
159,44107
160,7111
161,5889
162,5325
163,407
164,1692
165,1065
166,32986
167,22147
168,54507
169,6015
170,40034
171,3195
172,2506
173,846
174,40598
175,68572
176,54037
177,23745
178,55478
179,19328
180,1128
181,131443
182,13658
183,74274
184,101903
185,54946
186,3383
187,110988
188,27755
189,6077
190,21709
191,29164
192,19829
193,26596
194,138993
195,4448
196,30825
197,94792
198,25875
199,6735
200,71016
201,119665
202,88715
203,2788
204,16289
205,13188
206,70076
207,4887
208,42541
209,80570
210,50121
