 Objeto,Area
1,19453
2,4949
3,9554
4,2318
5,1065
6,11183
7,130065
8,10181
9,185856
10,18232
11,62057
12,62840
13,20456
14,94792
15,30010
16,71799
17,177618
18,9085
19,355517
20,1535
21,3007
22,44232
23,66066
24,20362
25,6704
26,13188
27,6672
28,1347
29,10651
30,2255
31,40003
32,2130
33,216211
34,313
35,37340
36,8082
37,282
38,23776
39,211450
40,147639
41,72394
42,70295
43,26157
44,8740
45,10933
46,25687
47,26376
48,25562
49,26251
50,56449
51,313
52,3195
53,52721
54,24215
55,23651
56,68165
57,26972
58,15381
59,110768
60,22241
61,21145
62,70796
63,7581
64,15694
65,28945
66,20330
67,18608
68,7080
69,96076
70,8677
71,27473
72,2068
73,253896
74,7205
75,30637
76,81980
77,20017
78,1410
79,2318
80,75088
81,233127
82,42760
83,14567
84,17699
85,99334
86,4104
87,27849
88,14974
89,6547
90,32203
91,82011
92,10275
93,162519
94,16352
95,233628
96,7205
97,23118
98,26878
99,6328
100,267774
101,269027
102,145791
103,128969
104,15036
105,72927
106,12499
107,143786
108,32109
109,270655
110,75088
111,27379
112,97173
113,52220
114,22931
115,26658
116,70139
117,1128
118,49526
119,14942
120,42290
121,1629
122,101433
123,1222
124,80382
125,3508
126,32485
127,328702
128,72895
129,3227
130,3571
131,49464
132,4135
133,5106
134,51374
135,2130
136,323064
137,12530
138,26909
139,28757
140,470
141,22711
142,7456
143,2882
144,28256
145,65941
146,54789
147,25280
148,37027
149,142533
150,24278
151,52471
152,58235
153,45704
154,21145
155,28037
156,310157
157,56825
158,39126
159,164837
160,23025
161,76560
162,310408
163,44765
164,1096
165,242775
166,3007
167,61461
168,97831
169,72363
170,40066
171,9085
172,24935
173,274603
174,35524
175,208035
176,6547
177,2663
178,24090
179,36620
180,11653
181,39502
182,46049
183,55885
184,33487
185,41601
186,36839
187,11653
188,24372
189,144538
190,11841
191,46362
192,16195
193,182974
194,67382
195,67507
196,2600
197,2600
198,18388
199,39659
200,6547
201,94009
202,26846
203,52533
204,14567
205,63936
206,32360
207,168283
208,33299
209,21208
210,14848
211,8145
212,13220
213,239486
214,42822
215,9962
216,1222
217,814
218,4323
219,24403
220,181502
221,21928
222,28131
223,3477
224,3039
225,70640
226,1410
227,439
228,71736
229,20581
230,82293
231,57608
232,62119
233,33989
234,155094
235,66818
236,231592
237,50560
238,24841
239,117785
240,58611
241,10964
242,15945
243,10432
244,134137
245,1660
246,109547
247,216430
248,56700
249,7424
250,226737
251,3352
252,110048
253,365322
254,46143
255,4887
256,15851
257,3070
258,44796
259,113932
260,64531
261,14911
262,165150
263,20362
264,50278
265,79662
266,1504
267,557412
268,10776
269,180594
270,81353
271,152964
272,439
273,96766
274,138492
275,29321
276,12374
277,17292
278,67695
279,31
280,194941
281,29760
282,39408
283,9241
284,292709
285,22962
286,73146
287,75558
288,1222
289,179153
290,1723
291,73835
292,64876
293,407
294,13533
295,7644
296,65471
297,5200
298,114151
299,32234
300,77594
301,30010
302,42415
303,15788
304,21928
305,2005
306,10839
307,595
308,180280
309,87618
310,63
311,5639
312,7800
313,908
314,123173
315,10525
316,9147
317,16947
318,60741
319,78440
320,2631
321,256152
322,26690
323,7393
324,150270
325,94
326,35085
327,282
328,1566
329,36902
330,80601
331,3133
332,4135
333,21646
334,21646
335,23808
336,390696
337,20988
338,5858
339,266333
340,62620
341,122609
342,26658
343,179810
344,8333
345,11215
346,148297
347,131913
348,36965
349,181721
350,37184
351,20675
352,28820
353,118568
354,10933
355,20769
356,379137
357,4887
358,52502
359,11966
360,8489
361,31545
362,69074
363,11215
364,29008
365,22774
366,13940
367,54570
368,27786
369,11277
370,10463
371,4010
372,83139
373,153183
374,30073
375,29164
376,118474
377,5012
378,22179
379,10933
380,302702
381,11403
382,43950
383,64563
384,57890
385,4260
386,62213
387,16133
388,22868
389,17198
390,43512
391,31764
392,125523
393,38249
394,120479
395,245219
396,4762
397,28193
398,1942
399,32078
400,170256
401,14754
402,23588
403,213830
404,112115
405,15851
406,18169
407,188488
408,17292
409,3101
410,75307
411,15162
412,69669
413,12248
414,1347
415,215209
416,14473
417,108168
418,157945
419,106821
420,31827
421,9178
422,15099
423,42979
424,21458
425,5012
426,6860
427,71642
428,43261
429,145446
430,5545
431,45109
432,74806
433,44702
434,107761
435,57170
436,61712
437,9272
438,22429
439,63090
440,46519
441,22711
442,53003
443,3101
444,17386
445,1096
446,5200
447,69575
448,13220
449,85488
450,16759
451,49620
452,74524
453,11966
454,19892
455,325319
456,470
457,21396
458,37528
459,11465
460,16916
461,55353
462,14034
463,208536
464,4605
465,1848
466,7299
467,43010
468,13251
469,115029
470,75652
471,37246
472,83483
473,31169
474,17167
475,39220
476,24873
477,20456
478,51970
479,177398
480,11935
481,362785
482,11497
483,12029
484,21552
485,207784
486,55415
487,131318
488,22962
489,210103
490,6171
491,22022
492,564
493,40630
494,8897
495,75464
496,32140
497,19328
498,26627
499,13533
500,31169
501,134513
502,115467
503,908
504,59206
505,134263
506,8395
507,87650
508,212828
509,90156
510,55509
511,14535
512,17793
513,22617
514,79850
515,4260
516,100901
517,11622
518,28319
519,25092
520,3477
521,107824
522,29728
523,42353
524,16822
525,57608
526,4668
527,49808
528,85488
529,10087
530,48398
531,9178
