 Objeto,Area
1,125679
2,121106
3,44107
4,439
5,125
6,74493
7,483202
8,17981
9,41162
10,147827
11,689
12,582317
13,591808
14,296719
15,231216
16,132916
17,720
18,64845
19,367515
20,19203
21,51938
22,420644
23,400533
24,91002
25,178276
26,211919
27,196946
28,68165
29,94
30,188519
31,139776
32,28131
33,157
34,365166
35,178432
36,151241
37,88339
38,13595
39,7268
40,684533
41,62370
42,180186
43,989741
44,2694
45,188
46,265518
47,752
48,11027
49,28538
50,264923
51,115874
52,210604
53,13282
54,382489
55,30574
56,24152
57,160451
58,255838
59,175769
60,720
61,199013
62,316297
63,114308
64,4981
65,117472
66,860616
67,481103
68,36589
69,234380
70,1222
71,338382
72,255337
73,30480
74,10651
75,470984
76,323722
77,781017
78,814
79,29258
80,4292
81,451406
82,56073
83,365040
84,256465
85,62464
86,81197
87,104848
88,72049
89,112053
90,470
91,125648
92,157
93,268337
94,12248
95,7706
96,262041
97,247036
98,63811
99,110988
100,136080
101,291456
102,227050
103,77375
104,564
105,18482
106,846
107,117848
108,1848
109,125
110,30574
111,82857
112,14786
113,54382
114,78847
115,67507
116,34803
117,56105
118,3790
119,533
120,313
