 Objeto,Area, Objeto,Area,Objeto,Area, Objeto,Area, Objeto,Area, Objeto,Area, Objeto,Area, Objeto,Area, Objeto,Area, Objeto,Area
1,43261,1,19453,1,2036,1,7048,1,14880,1,125679,1,25217,1,1232830,1,3101,1,157
2,16415,2,4949,2,783,2,118819,2,2600,2,121106,2,19767,2,296656,2,10369,2,8019
3,25092,3,9554,3,31545,3,908,3,2819,3,44107,3,219,,,3,627,3,1629
4,52408,4,2318,4,20518,4,11747,4,24810,4,439,4,251,,,4,12186,4,12906
5,212640,5,1065,5,6171,5,2663,5,33205,5,125,5,1786,,,5,199389,5,8082
6,126369,6,11183,6,400125,6,1347,6,94,6,74493,6,511113,,,6,425938,6,434552
7,95419,7,130065,7,7988,7,3007,7,22241,7,483202,7,6672,,,7,282,7,118286
8,595,8,10181,8,452533,8,125,8,21176,8,17981,8,72237,,,8,141468,8,39878
9,34302,9,185856,9,74837,9,282,9,61649,9,41162,9,44044,,,9,337098,9,31
10,4730,10,18232,10,1754,10,282,10,4386,10,147827,10,1378,,,10,75965,10,282
11,28914,11,62057,11,117973,11,2068,11,7737,11,689,11,320025,,,11,163364,11,3759
12,188206,12,62840,12,25249,12,783,12,1378,12,582317,12,181377,,,12,313,12,125
13,39283,13,20456,13,12969,13,68854,13,407,13,591808,13,117065,,,13,4636,13,1002
14,18639,14,94792,14,411058,14,171854,,,14,296719,14,251,,,14,51312,14,376
15,220753,15,30010,15,232219,15,120166,,,15,231216,,,,,15,58016,15,81823
16,3289,16,71799,16,286914,16,219,,,16,132916,,,,,,,16,125
17,79536,17,177618,17,129000,17,219,,,17,720,,,,,,,17,125
18,10901,18,9085,18,31,18,2663,,,18,64845,,,,,,,18,3133
19,5607,19,355517,19,125,19,187235,,,19,367515,,,,,,,19,195348
20,22147,20,1535,20,6140,20,204464,,,20,19203,,,,,,,20,689
21,67288,21,3007,21,39721,21,251,,,21,51938,,,,,,,21,5607
22,439,22,44232,22,4574,22,313,,,22,420644,,,,,,,22,115906
23,8051,23,66066,23,94,23,164398,,,23,400533,,,,,,,23,49996
24,72269,24,20362,,,24,138178,,,24,91002,,,,,,,24,63
25,27441,25,6704,,,25,251,,,25,178276,,,,,,,25,282
26,268212,26,13188,,,26,28193,,,26,211919,,,,,,,26,752
27,234067,27,6672,,,27,94260,,,27,196946,,,,,,,27,1034
28,73240,28,1347,,,28,12092,,,28,68165,,,,,,,28,157
29,31075,29,10651,,,29,3822,,,29,94,,,,,,,29,42822
30,77907,30,2255,,,30,6140,,,30,188519,,,,,,,30,533
31,55635,31,40003,,,31,125,,,31,139776,,,,,,,,
32,136894,32,2130,,,32,4386,,,32,28131,,,,,,,,
33,8270,33,216211,,,33,3853,,,33,157,,,,,,,,
34,49777,34,313,,,,,,,34,365166,,,,,,,,
35,2569,35,37340,,,,,,,35,178432,,,,,,,,
36,37936,36,8082,,,,,,,36,151241,,,,,,,,
37,6390,37,282,,,,,,,37,88339,,,,,,,,
38,8239,38,23776,,,,,,,38,13595,,,,,,,,
39,14379,39,211450,,,,,,,39,7268,,,,,,,,
40,25092,40,147639,,,,,,,40,684533,,,,,,,,
41,25593,41,72394,,,,,,,41,62370,,,,,,,,
42,24591,42,70295,,,,,,,42,180186,,,,,,,,
43,58611,43,26157,,,,,,,43,989741,,,,,,,,
44,24967,44,8740,,,,,,,44,2694,,,,,,,,
45,13032,45,10933,,,,,,,45,188,,,,,,,,
46,208035,46,25687,,,,,,,46,265518,,,,,,,,
47,81197,47,26376,,,,,,,47,752,,,,,,,,
48,21208,48,25562,,,,,,,48,11027,,,,,,,,
49,19986,49,26251,,,,,,,49,28538,,,,,,,,
50,132790,50,56449,,,,,,,50,264923,,,,,,,,
51,27222,51,313,,,,,,,51,115874,,,,,,,,
52,19265,52,3195,,,,,,,52,210604,,,,,,,,
53,19109,53,52721,,,,,,,53,13282,,,,,,,,
54,50591,54,24215,,,,,,,54,382489,,,,,,,,
55,54914,55,23651,,,,,,,55,30574,,,,,,,,
56,98990,56,68165,,,,,,,56,24152,,,,,,,,
57,134388,57,26972,,,,,,,57,160451,,,,,,,,
58,218936,58,15381,,,,,,,58,255838,,,,,,,,
59,269747,59,110768,,,,,,,59,175769,,,,,,,,
60,150646,60,22241,,,,,,,60,720,,,,,,,,
61,22837,61,21145,,,,,,,61,199013,,,,,,,,
62,20957,62,70796,,,,,,,62,316297,,,,,,,,
63,58642,63,7581,,,,,,,63,114308,,,,,,,,
64,25249,64,15694,,,,,,,64,4981,,,,,,,,
65,54350,65,28945,,,,,,,65,117472,,,,,,,,
66,1974,66,20330,,,,,,,66,860616,,,,,,,,
67,186702,67,18608,,,,,,,67,481103,,,,,,,,
68,83922,68,7080,,,,,,,68,36589,,,,,,,,
69,31670,69,96076,,,,,,,69,234380,,,,,,,,
70,3289,70,8677,,,,,,,70,1222,,,,,,,,
71,2318,71,27473,,,,,,,71,338382,,,,,,,,
72,24497,72,2068,,,,,,,72,255337,,,,,,,,
73,68290,73,253896,,,,,,,73,30480,,,,,,,,
74,258282,74,7205,,,,,,,74,10651,,,,,,,,
75,73553,75,30637,,,,,,,75,470984,,,,,,,,
76,112616,76,81980,,,,,,,76,323722,,,,,,,,
77,87430,77,20017,,,,,,,77,781017,,,,,,,,
78,117253,78,1410,,,,,,,78,814,,,,,,,,
79,908,79,2318,,,,,,,79,29258,,,,,,,,
80,75245,80,75088,,,,,,,80,4292,,,,,,,,
81,73021,81,233127,,,,,,,81,451406,,,,,,,,
82,42415,82,42760,,,,,,,82,56073,,,,,,,,
83,157788,83,14567,,,,,,,83,365040,,,,,,,,
84,88496,84,17699,,,,,,,84,256465,,,,,,,,
85,179215,85,99334,,,,,,,85,62464,,,,,,,,
86,97925,86,4104,,,,,,,86,81197,,,,,,,,
87,143316,87,27849,,,,,,,87,104848,,,,,,,,
88,44451,88,14974,,,,,,,88,72049,,,,,,,,
89,84705,89,6547,,,,,,,89,112053,,,,,,,,
90,470,90,32203,,,,,,,90,470,,,,,,,,
91,61117,91,82011,,,,,,,91,125648,,,,,,,,
92,30229,92,10275,,,,,,,92,157,,,,,,,,
93,210948,93,162519,,,,,,,93,268337,,,,,,,,
94,39847,94,16352,,,,,,,94,12248,,,,,,,,
95,19767,95,233628,,,,,,,95,7706,,,,,,,,
96,11309,96,7205,,,,,,,96,262041,,,,,,,,
97,152181,97,23118,,,,,,,97,247036,,,,,,,,
98,234161,98,26878,,,,,,,98,63811,,,,,,,,
99,32234,99,6328,,,,,,,99,110988,,,,,,,,
100,114465,100,267774,,,,,,,100,136080,,,,,,,,
101,22273,101,269027,,,,,,,101,291456,,,,,,,,
102,8458,102,145791,,,,,,,102,227050,,,,,,,,
103,16634,103,128969,,,,,,,103,77375,,,,,,,,
104,158759,104,15036,,,,,,,104,564,,,,,,,,
105,231717,105,72927,,,,,,,105,18482,,,,,,,,
106,6046,106,12499,,,,,,,106,846,,,,,,,,
107,1566,107,143786,,,,,,,107,117848,,,,,,,,
108,9930,108,32109,,,,,,,108,1848,,,,,,,,
109,63,109,270655,,,,,,,109,125,,,,,,,,
110,91315,110,75088,,,,,,,110,30574,,,,,,,,
111,99272,111,27379,,,,,,,111,82857,,,,,,,,
112,752,112,97173,,,,,,,112,14786,,,,,,,,
113,13220,113,52220,,,,,,,113,54382,,,,,,,,
114,2851,114,22931,,,,,,,114,78847,,,,,,,,
115,83045,115,26658,,,,,,,115,67507,,,,,,,,
116,47114,116,70139,,,,,,,116,34803,,,,,,,,
117,2506,117,1128,,,,,,,117,56105,,,,,,,,
118,27535,118,49526,,,,,,,118,3790,,,,,,,,
119,21020,119,14942,,,,,,,119,533,,,,,,,,
120,63,120,42290,,,,,,,120,313,,,,,,,,
121,1692,121,1629,,,,,,,,,,,,,,,,
122,25468,122,101433,,,,,,,,,,,,,,,,
123,136643,123,1222,,,,,,,,,,,,,,,,
124,1096,124,80382,,,,,,,,,,,,,,,,
125,63,125,3508,,,,,,,,,,,,,,,,
126,2193,126,32485,,,,,,,,,,,,,,,,
127,4542,127,328702,,,,,,,,,,,,,,,,
128,57734,128,72895,,,,,,,,,,,,,,,,
129,47803,129,3227,,,,,,,,,,,,,,,,
130,16540,130,3571,,,,,,,,,,,,,,,,
131,6046,131,49464,,,,,,,,,,,,,,,,
132,1222,132,4135,,,,,,,,,,,,,,,,
133,2976,133,5106,,,,,,,,,,,,,,,,
134,29540,134,51374,,,,,,,,,,,,,,,,
135,12342,135,2130,,,,,,,,,,,,,,,,
136,75934,136,323064,,,,,,,,,,,,,,,,
